               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.066033,             0.01976,             0.00985,             0.94692,             0.94341,             0.93817,             0.47594,            0.054337,            0.013873,           0.0071466,            0.005578,            0.005578,            0.005578
                 136,            0.064431,            0.018396,            0.009457,             0.95242,             0.94042,             0.94998,             0.46818,            0.055367,            0.013977,           0.0071569,            0.005545,            0.005545,            0.005545
                 137,            0.064272,            0.018691,           0.0092369,             0.95514,             0.94248,             0.95347,             0.46976,             0.05434,            0.013839,           0.0071743,            0.005512,            0.005512,            0.005512
                 138,            0.065053,             0.01901,           0.0092447,             0.94507,             0.93655,             0.92949,             0.44307,            0.056641,            0.013909,            0.007128,            0.005479,            0.005479,            0.005479
                 139,            0.064719,            0.019129,           0.0095176,             0.93706,             0.92902,             0.93347,             0.44306,            0.057156,            0.014352,           0.0072142,            0.005446,            0.005446,            0.005446
                 140,            0.063051,            0.018511,           0.0091843,             0.95654,             0.94089,             0.94482,              0.4721,            0.055988,            0.013905,           0.0072285,            0.005413,            0.005413,            0.005413
                 141,            0.063281,            0.018584,           0.0094313,             0.95194,             0.93963,              0.9414,             0.48122,            0.054839,            0.013972,           0.0071583,             0.00538,             0.00538,             0.00538
                 142,            0.064145,            0.018289,           0.0092939,             0.94934,             0.95037,             0.95439,             0.47514,            0.054558,              0.0139,           0.0072027,            0.005347,            0.005347,            0.005347
                 143,            0.064252,            0.018961,           0.0093618,             0.92147,             0.91323,             0.93992,             0.46216,            0.057152,            0.014889,           0.0073616,            0.005314,            0.005314,            0.005314
                 144,            0.063333,            0.018591,           0.0096491,             0.95804,             0.94671,             0.95191,             0.48788,             0.05419,            0.013799,           0.0071003,            0.005281,            0.005281,            0.005281
                 145,            0.063595,            0.018636,           0.0089611,             0.94271,             0.94102,             0.93799,             0.47199,            0.054411,            0.013766,           0.0070789,            0.005248,            0.005248,            0.005248
                 146,            0.063999,             0.01834,           0.0092093,             0.95123,             0.93914,             0.94481,             0.46583,            0.054354,            0.013874,           0.0071706,            0.005215,            0.005215,            0.005215
                 147,            0.064215,            0.018672,           0.0092996,             0.95027,             0.93625,              0.9452,             0.44283,            0.055717,            0.014229,           0.0071685,            0.005182,            0.005182,            0.005182
                 148,            0.063758,            0.018948,           0.0090864,             0.94701,             0.94425,              0.9391,              0.4599,            0.054408,            0.014129,           0.0071354,            0.005149,            0.005149,            0.005149
                 149,            0.063784,            0.018988,            0.009396,             0.94745,             0.94468,             0.94386,              0.4701,            0.056008,            0.014053,           0.0071294,            0.005116,            0.005116,            0.005116
                 150,            0.062393,            0.018107,           0.0088745,              0.9503,             0.94092,             0.93827,             0.45222,            0.055023,            0.014498,           0.0072001,            0.005083,            0.005083,            0.005083
                 151,            0.063166,            0.018884,           0.0093336,             0.94266,             0.93683,             0.94076,             0.46299,            0.054828,            0.013782,           0.0071688,             0.00505,             0.00505,             0.00505
                 152,            0.064245,            0.018587,           0.0095283,             0.94894,             0.93828,             0.93782,             0.47294,            0.055132,            0.013842,           0.0071611,            0.005017,            0.005017,            0.005017
                 153,            0.062193,            0.018282,           0.0092412,             0.95835,             0.94535,             0.94527,              0.4893,            0.053816,            0.013719,           0.0070839,            0.004984,            0.004984,            0.004984
                 154,            0.063465,              0.0186,           0.0090793,             0.93238,              0.9361,             0.93101,             0.45782,            0.055062,            0.013911,            0.007054,            0.004951,            0.004951,            0.004951
                 155,            0.063208,            0.018243,           0.0092723,             0.95026,             0.94459,             0.94798,             0.48283,            0.054222,            0.013827,           0.0070402,            0.004918,            0.004918,            0.004918
                 156,            0.063938,            0.019634,           0.0098644,             0.93257,             0.93693,             0.94121,              0.4589,            0.055113,             0.01395,           0.0070412,            0.004885,            0.004885,            0.004885
                 157,            0.063331,            0.019393,           0.0092692,             0.95716,             0.95159,             0.95553,             0.48569,            0.054373,            0.013794,           0.0070334,            0.004852,            0.004852,            0.004852
